Channel,train_loss_1,valid_loss_1,train_loss_2,valid_loss_2,train_loss_3,valid_loss_3,train_loss_4,valid_loss_4,train_loss_5,valid_loss_5,Train AVG,Valid AVG,Train STD,Valid STD
P-1,0.030559167265892,0.0277590025216341,0.0318714156746864,0.0324814021587371,0.0399711057543754,0.0327951088547706,0.0267209354788064,0.0204934570938348,0.0338533110916614,0.0300287120044231,0.03259518705308432,0.02871153652667994,0.0043626392453292384,0.004495921522380086
S-1,0.1134782135486602,0.1125813797116279,0.1096316650509834,0.1141817346215248,0.1338722705841064,0.1408395767211914,0.1192690357565879,0.1202432364225387,0.1393598616123199,0.1360510885715484,0.12312220931053157,0.12477940320968624,0.011567830866415852,0.011546940980198846
E-1,0.2266740202903747,0.2458692640066146,0.2479199320077896,0.2565630674362182,0.233106717467308,0.221583753824234,0.2326009273529052,0.2484477162361145,0.2315737903118133,0.2363189160823822,0.23437507748603817,0.24175654351711273,0.0071466484677893075,0.011978552908088462
E-2,0.0765894651412963,0.0601210445165634,0.0563192218542099,0.0305601116269826,0.0713352039456367,0.086226537823677,0.0731651112437248,0.0704376921057701,0.0719647780060768,0.0815101861953735,0.0698747560381889,0.06577111445367331,0.007016656791486903,0.019797260830099608
E-3,0.004645736888051,0.0031584796961396,0.0052602756768465,0.0026195065584033,0.0048142247833311,0.0027269155252724,0.0056882947683334,0.0025440610479563,0.0065374304540455,0.0033615611027926,0.0053891925141215,0.00288210478611284,0.0006793888776650206,0.00032049229484643234
E-4,0.0288071185350418,0.02849099971354,0.0266888998448848,0.0225953850895166,0.0277696438133716,0.0217629726976156,0.0257993321865797,0.0368273109197616,0.0281219594180583,0.0241539608687162,0.027437390759587243,0.026766125857830003,0.0010675818522958495,0.005539903621904161
E-5,0.2464954257011413,0.2307799607515335,0.0984977558255195,0.1461614519357681,0.256427526473999,0.2218274474143982,0.2334952503442764,0.2309976816177368,0.2428432404994964,0.2025371044874191,0.21555183976888653,0.20646072924137115,0.05898605323073905,0.03187795713455299
E-6,0.0048447302542626,0.0004862629284616,0.0036478808615356,0.0001215448864968,0.003818274475634,2.6678599169827063e-05,0.0039121131412684,1.4394227946468163e-05,0.0042058583348989,2.526659045543056e-05,0.004085771413519899,0.00013482944650602515,0.0004204519790522131,0.00017993734401121255
E-7,0.0019053865689784,0.0013112828601151,0.0042162002064287,0.0013881392078474,0.0050927125848829,0.0013931409921497,0.0040421080775558,0.0014244925696402,0.0035643016453832,0.0014872725587338,0.0037641418166458004,0.0014008656376972401,0.0010527705809883629,5.704576079069293e-05
E-8,0.0217265784740448,0.0149456225335598,0.0211485810577869,0.0161435697227716,0.0208042692393064,0.0174461957067251,0.0220295581966638,0.0179728679358959,0.0217670071870088,0.01843180693686,0.021495198830962143,0.01698801256716248,0.00044955173999651157,0.0012766248341212294
E-9,0.0138765713199973,0.0086093246936798,0.0133905885741114,0.0097008571028709,0.0128145534545183,0.0074663530103862,0.0134896859526634,0.0107504045590758,0.0124330120161175,0.0090924380347132,0.013200882263481581,0.00912387548014518,0.0005128014082848975,0.0010946813417751701
E-10,0.2181290537118911,0.2713551223278045,0.1870341300964355,0.2300682067871093,0.2202675193548202,0.2075511366128921,0.2339620292186737,0.2880671322345733,0.2272413223981857,0.2168118208646774,0.21732681095600123,0.24277068376541133,0.01613670286501999,0.031446686178224235
E-11,0.2482794225215912,0.2339332103729248,0.2132095694541931,0.2104702889919281,0.221985712647438,0.2329457253217697,0.2426703572273254,0.1687929779291153,0.2492650300264358,0.2166440337896347,0.23508201837539672,0.21255724728107453,0.014716177681409108,0.02370227974561974
