model,total_elapsed_time,P-1,S-1,E-1,E-2,E-3,E-4,E-5,E-6,E-7,E-8,E-9,E-10,E-11,E-12,E-13,A-1,D-1,P-2,P-3,D-2,D-3,D-4,A-2,A-3,A-4,G-1,G-2,D-5,D-6,D-7,F-1,P-4,G-3,T-1,T-2,D-8,D-9,F-2,G-4,T-3,D-11,D-12,B-1,G-6,G-7,P-7,R-1,A-5,A-6,A-7,D-13,P-2,A-8,A-9,F-3,M-6,M-1,M-2,S-2,P-10,T-4,T-5,F-7,M-3,M-4,M-5,P-15,C-1,C-2,T-12,T-13,F-4,F-5,D-14,T-9,P-14,T-8,P-11,D-15,D-16,M-7,F-8
prova,0h:08m:00s.520,0h:00m:26s.86,0h:00m:04s.727,0h:00m:06s.482,0h:00m:05s.670,0h:00m:06s.646,0h:00m:06s.946,0h:00m:06s.997,0h:00m:06s.428,0h:00m:06s.553,0h:00m:05s.891,0h:00m:06s.167,0h:00m:09s.677,0h:00m:06s.680,0h:00m:06s.753,0h:00m:07s.476,0h:00m:07s.409,0h:00m:07s.193,0h:00m:06s.274,0h:00m:06s.257,0h:00m:11s.69,0h:00m:06s.998,0h:00m:06s.860,0h:00m:07s.775,0h:00m:07s.834,0h:00m:05s.553,0h:00m:06s.318,0h:00m:07s.438,0h:00m:05s.242,0h:00m:05s.235,0h:00m:04s.917,0h:00m:06s.806,0h:00m:07s.752,0h:00m:05s.59,0h:00m:11s.536,0h:00m:06s.387,0h:00m:02s.973,0h:00m:03s.869,0h:00m:03s.322,0h:00m:03s.793,0h:00m:04s.662,0h:00m:04s.311,0h:00m:01s.242,0h:00m:02s.787,0h:00m:04s.732,0h:00m:02s.735,0h:00m:04s.885,0h:00m:04s.4,0h:00m:03s.407,0h:00m:03s.587,0h:00m:07s.860,0h:00m:01s.600,0h:00m:06s.274,0h:00m:01s.745,0h:00m:01s.648,0h:00m:07s.956,0h:00m:06s.603,0h:00m:06s.217,0h:00m:06s.359,0h:00m:05s.796,0h:00m:05s.217,0h:00m:05s.853,0h:00m:06s.20,0h:00m:05s.617,0h:00m:04s.624,0h:00m:03s.618,0h:00m:04s.747,0h:00m:05s.281,0h:00m:05s.560,0h:00m:04s.416,0h:00m:03s.511,0h:00m:04s.75,0h:00m:04s.967,0h:00m:05s.621,0h:00m:06s.197,0h:00m:03s.687,0h:00m:05s.806,0h:00m:03s.918,0h:00m:06s.881,0h:00m:05s.607,0h:00m:03s.651,0h:00m:05s.566,0h:00m:08s.608
prova,0h:06m:42s.569,0h:00m:08s.151,0h:00m:03s.925,0h:00m:06s.650,0h:00m:04s.906,0h:00m:05s.503,0h:00m:04s.698,0h:00m:06s.594,0h:00m:03s.677,0h:00m:03s.749,0h:00m:05s.920,0h:00m:05s.876,0h:00m:06s.690,0h:00m:06s.594,0h:00m:06s.575,0h:00m:08s.263,0h:00m:04s.511,0h:00m:04s.422,0h:00m:04s.157,0h:00m:05s.76,0h:00m:04s.795,0h:00m:04s.887,0h:00m:04s.294,0h:00m:09s.726,0h:00m:06s.626,0h:00m:04s.817,0h:00m:06s.397,0h:00m:04s.577,0h:00m:03s.541,0h:00m:10s.66,0h:00m:04s.147,0h:00m:03s.976,0h:00m:04s.577,0h:00m:05s.157,0h:00m:12s.381,0h:00m:12s.884,0h:00m:02s.497,0h:00m:03s.176,0h:00m:03s.343,0h:00m:02s.980,0h:00m:04s.530,0h:00m:04s.299,0h:00m:01s.394,0h:00m:03s.131,0h:00m:03s.957,0h:00m:02s.540,0h:00m:04s.297,0h:00m:03s.996,0h:00m:02s.861,0h:00m:03s.15,0h:00m:08s.994,0h:00m:01s.724,0h:00m:04s.157,0h:00m:02s.574,0h:00m:02s.591,0h:00m:05s.91,0h:00m:04s.282,0h:00m:10s.37,0h:00m:04s.385,0h:00m:03s.624,0h:00m:04s.101,0h:00m:03s.201,0h:00m:03s.887,0h:00m:05s.255,0h:00m:04s.557,0h:00m:03s.650,0h:00m:07s.406,0h:00m:04s.989,0h:00m:04s.273,0h:00m:02s.965,0h:00m:05s.83,0h:00m:02s.884,0h:00m:05s.23,0h:00m:05s.760,0h:00m:04s.765,0h:00m:02s.675,0h:00m:04s.213,0h:00m:03s.428,0h:00m:04s.819,0h:00m:03s.806,0h:00m:04s.610,0h:00m:03s.146,0h:00m:05s.882
prova,0h:07m:35s.394,0h:00m:08s.813,0h:00m:04s.560,0h:00m:06s.627,0h:00m:05s.902,0h:00m:06s.654,0h:00m:06s.957,0h:00m:06s.314,0h:00m:06s.241,0h:00m:06s.374,0h:00m:05s.705,0h:00m:06s.200,0h:00m:09s.292,0h:00m:06s.483,0h:00m:06s.532,0h:00m:07s.337,0h:00m:07s.182,0h:00m:06s.882,0h:00m:06s.312,0h:00m:06s.333,0h:00m:07s.95,0h:00m:07s.561,0h:00m:06s.837,0h:00m:07s.883,0h:00m:08s.193,0h:00m:05s.722,0h:00m:06s.245,0h:00m:07s.396,0h:00m:04s.677,0h:00m:05s.242,0h:00m:04s.886,0h:00m:06s.699,0h:00m:07s.81,0h:00m:05s.26,0h:00m:11s.631,0h:00m:06s.336,0h:00m:03s.60,0h:00m:03s.939,0h:00m:03s.118,0h:00m:03s.677,0h:00m:04s.735,0h:00m:04s.372,0h:00m:01s.187,0h:00m:02s.828,0h:00m:04s.621,0h:00m:02s.658,0h:00m:04s.865,0h:00m:04s.85,0h:00m:03s.259,0h:00m:03s.457,0h:00m:07s.716,0h:00m:01s.624,0h:00m:06s.312,0h:00m:01s.679,0h:00m:01s.521,0h:00m:08s.134,0h:00m:06s.635,0h:00m:06s.95,0h:00m:06s.244,0h:00m:05s.660,0h:00m:05s.100,0h:00m:05s.834,0h:00m:06s.68,0h:00m:05s.747,0h:00m:04s.397,0h:00m:03s.573,0h:00m:04s.503,0h:00m:05s.242,0h:00m:05s.648,0h:00m:04s.393,0h:00m:03s.530,0h:00m:04s.133,0h:00m:04s.777,0h:00m:05s.513,0h:00m:06s.203,0h:00m:03s.791,0h:00m:05s.637,0h:00m:04s.13,0h:00m:07s.27,0h:00m:05s.595,0h:00m:03s.687,0h:00m:05s.667,0h:00m:08s.499
