model,total_elapsed_time,P-1,S-1,E-1,E-2,E-3,E-4,E-5,E-6,E-7,E-8,E-9,E-10,E-11,E-12,E-13,A-1,D-1,P-2,P-3,D-2,D-3,D-4,A-2,A-3,A-4,G-1,G-2,D-5,D-6,D-7,F-1,P-4,G-3,T-1,T-2,D-8,D-9,F-2,G-4,T-3,D-11,D-12,B-1,G-6,G-7,P-7,R-1,A-5,A-6,A-7,D-13,P-2,A-8,A-9,F-3,M-6,M-1,M-2,S-2,P-10,T-4,T-5,F-7,M-3,M-4,M-5,P-15,C-1,C-2,T-12,T-13,F-4,F-5,D-14,T-9,P-14,T-8,P-11,D-15,D-16,M-7,F-8
prova,0h:24m:36s.231,0h:00m:44s.252,0h:00m:19s.243,0h:00m:22s.812,0h:00m:22s.593,0h:00m:22s.774,0h:00m:24s.182,0h:00m:23s.146,0h:00m:23s.310,0h:00m:24s.422,0h:00m:22s.7,0h:00m:22s.264,0h:00m:26s.184,0h:00m:23s.229,0h:00m:22s.791,0h:00m:23s.665,0h:00m:24s.537,0h:00m:23s.767,0h:00m:21s.511,0h:00m:22s.499,0h:00m:27s.692,0h:00m:23s.65,0h:00m:23s.366,0h:00m:22s.667,0h:00m:23s.448,0h:00m:21s.183,0h:00m:22s.12,0h:00m:20s.973,0h:00m:19s.506,0h:00m:21s.940,0h:00m:19s.502,0h:00m:23s.857,0h:00m:23s.423,0h:00m:20s.133,0h:00m:28s.146,0h:00m:23s.569,0h:00m:18s.83,0h:00m:18s.80,0h:00m:21s.467,0h:00m:18s.125,0h:00m:21s.83,0h:00m:19s.612,0h:00m:17s.401,0h:00m:17s.903,0h:00m:21s.420,0h:00m:18s.102,0h:00m:20s.128,0h:00m:19s.267,0h:00m:12s.935,0h:00m:12s.193,0h:00m:24s.505,0h:00m:15s.730,0h:00m:21s.511,0h:00m:18s.610,0h:00m:19s.340,0h:00m:23s.942,0h:00m:10s.52,0h:00m:09s.978,0h:00m:10s.129,0h:00m:08s.721,0h:00m:16s.648,0h:00m:09s.361,0h:00m:09s.719,0h:00m:15s.22,0h:00m:08s.362,0h:00m:06s.910,0h:00m:08s.511,0h:00m:10s.230,0h:00m:09s.311,0h:00m:07s.657,0h:00m:07s.943,0h:00m:08s.104,0h:00m:11s.96,0h:00m:12s.573,0h:00m:10s.569,0h:00m:05s.377,0h:00m:17s.373,0h:00m:06s.104,0h:00m:13s.251,0h:00m:10s.136,0h:00m:07s.156,0h:00m:09s.43,0h:00m:12s.878
prova,0h:26m:08s.44,0h:00m:31s.415,0h:00m:20s.177,0h:00m:27s.575,0h:00m:26s.4,0h:00m:24s.592,0h:00m:23s.539,0h:00m:25s.373,0h:00m:22s.198,0h:00m:21s.785,0h:00m:25s.91,0h:00m:25s.552,0h:00m:25s.440,0h:00m:26s.903,0h:00m:24s.800,0h:00m:27s.803,0h:00m:23s.116,0h:00m:23s.140,0h:00m:21s.534,0h:00m:24s.29,0h:00m:23s.990,0h:00m:24s.293,0h:00m:22s.500,0h:00m:26s.983,0h:00m:24s.757,0h:00m:22s.491,0h:00m:25s.380,0h:00m:21s.142,0h:00m:20s.287,0h:00m:28s.824,0h:00m:21s.84,0h:00m:22s.834,0h:00m:21s.904,0h:00m:22s.473,0h:00m:31s.795,0h:00m:34s.912,0h:00m:19s.972,0h:00m:21s.248,0h:00m:23s.31,0h:00m:20s.73,0h:00m:23s.880,0h:00m:20s.442,0h:00m:24s.187,0h:00m:20s.997,0h:00m:25s.53,0h:00m:21s.22,0h:00m:21s.670,0h:00m:22s.129,0h:00m:14s.709,0h:00m:13s.779,0h:00m:27s.705,0h:00m:21s.227,0h:00m:21s.534,0h:00m:20s.548,0h:00m:24s.116,0h:00m:23s.167,0h:00m:07s.916,0h:00m:14s.865,0h:00m:08s.804,0h:00m:06s.966,0h:00m:16s.675,0h:00m:07s.512,0h:00m:08s.206,0h:00m:15s.857,0h:00m:08s.619,0h:00m:07s.498,0h:00m:11s.744,0h:00m:10s.595,0h:00m:08s.495,0h:00m:06s.777,0h:00m:09s.783,0h:00m:07s.543,0h:00m:12s.59,0h:00m:13s.700,0h:00m:09s.989,0h:00m:04s.464,0h:00m:19s.696,0h:00m:06s.617,0h:00m:11s.988,0h:00m:07s.858,0h:00m:08s.816,0h:00m:07s.277,0h:00m:10s.833
prova,0h:23m:43s.942,0h:00m:26s.695,0h:00m:18s.476,0h:00m:22s.746,0h:00m:21s.572,0h:00m:22s.676,0h:00m:22s.553,0h:00m:21s.428,0h:00m:21s.601,0h:00m:22s.60,0h:00m:24s.158,0h:00m:22s.182,0h:00m:25s.461,0h:00m:22s.479,0h:00m:22s.934,0h:00m:23s.310,0h:00m:23s.149,0h:00m:22s.709,0h:00m:20s.820,0h:00m:25s.957,0h:00m:24s.37,0h:00m:23s.578,0h:00m:23s.51,0h:00m:24s.261,0h:00m:23s.563,0h:00m:20s.528,0h:00m:21s.605,0h:00m:21s.12,0h:00m:20s.94,0h:00m:19s.483,0h:00m:18s.554,0h:00m:24s.333,0h:00m:21s.213,0h:00m:19s.251,0h:00m:27s.941,0h:00m:23s.47,0h:00m:17s.568,0h:00m:17s.547,0h:00m:20s.376,0h:00m:17s.265,0h:00m:21s.160,0h:00m:19s.27,0h:00m:16s.864,0h:00m:17s.659,0h:00m:20s.630,0h:00m:17s.151,0h:00m:19s.964,0h:00m:18s.683,0h:00m:12s.342,0h:00m:12s.164,0h:00m:23s.880,0h:00m:16s.1,0h:00m:20s.820,0h:00m:16s.506,0h:00m:17s.757,0h:00m:23s.429,0h:00m:09s.679,0h:00m:09s.650,0h:00m:09s.807,0h:00m:08s.377,0h:00m:16s.17,0h:00m:09s.440,0h:00m:09s.666,0h:00m:14s.556,0h:00m:07s.733,0h:00m:06s.599,0h:00m:08s.913,0h:00m:09s.948,0h:00m:09s.168,0h:00m:07s.519,0h:00m:07s.617,0h:00m:08s.339,0h:00m:10s.677,0h:00m:12s.345,0h:00m:10s.492,0h:00m:05s.165,0h:00m:19s.465,0h:00m:06s.574,0h:00m:13s.36,0h:00m:09s.80,0h:00m:07s.210,0h:00m:09s.77,0h:00m:12s.341
