model,total_elapsed_time,P-1,S-1,E-1,E-2,E-3,E-4,E-5,E-6,E-7,E-8,E-9,E-10,E-11,E-12,E-13,A-1,D-1,P-2,P-3,D-2,D-3,D-4,A-2,A-3,A-4,G-1,G-2,D-5,D-6,D-7,F-1,P-4,G-3,T-1,T-2,D-8,D-9,F-2,G-4,T-3,D-11,D-12,B-1,G-6,G-7,P-7,R-1,A-5,A-6,A-7,D-13,P-2,A-8,A-9,F-3,M-6,M-1,M-2,S-2,P-10,T-4,T-5,F-7,M-3,M-4,M-5,P-15,C-1,C-2,T-12,T-13,F-4,F-5,D-14,T-9,P-14,T-8,P-11,D-15,D-16,M-7,F-8
LSTM_1layer_2021-08-21_09.27.38,12127.354290485382,171.55873656272888,160.09803867340088,160.5493462085724,165.12818694114685,160.94997906684875,161.7428855895996,162.8980736732483,169.85750079154968,159.81729674339294,159.38947343826294,160.0244801044464,160.45190811157227,167.75430250167847,161.67730498313904,157.33800649642944,159.79560661315918,160.3345983028412,0.2577016353607178,155.1439073085785,162.83591055870056,165.6315417289734,163.1975553035736,156.78116583824158,157.04142785072327,155.7941825389862,157.3582329750061,149.9032256603241,147.62126755714417,153.05286931991577,155.4210603237152,164.68959259986877,152.15229082107544,153.4234049320221,162.94948172569275,160.5977177619934,151.7793264389038,150.76766777038574,154.63041353225708,150.21964859962463,159.9457643032074,149.86876606941223,84.25010347366333,145.1372308731079,157.94738936424255,148.41415977478027,161.38252520561218,156.27466368675232,95.0655210018158,95.44310855865479,159.7428698539734,117.33065724372864,0.2577016353607178,94.61223006248474,96.09036254882812,163.28069353103638,128.39037990570068,150.74240255355835,148.24854469299316,104.4406418800354,218.33406686782837,152.98080444335938,150.0209355354309,157.83824110031128,142.25942707061768,143.96111583709717,141.16718459129333,198.90556025505066,145.458016872406,98.27221393585205,108.89373278617859,110.09212017059326,144.60328483581543,162.17600560188293,198.5252721309662,89.6824803352356,170.16603326797485,96.21420359611511,206.16317462921143,143.78741002082825,120.83401536941528,126.21505689620972,186.4700005054474
LSTM_2layers_2021-08-21_13.50.13,20614.63127207756,287.9514379501343,280.5255572795868,281.5293743610382,279.73887848854065,277.98817896842957,273.46237564086914,273.7009024620056,274.92618107795715,275.81943249702454,275.9887499809265,277.5635552406311,273.713574886322,273.2384068965912,278.73638701438904,281.19399762153625,276.6462655067444,271.9014492034912,0.624516487121582,272.4023950099945,275.22080087661743,279.778174161911,268.5186290740967,265.21357226371765,268.1855342388153,267.1696410179138,276.429575920105,258.0916213989258,233.86426401138306,258.9617986679077,258.3468425273895,277.0709869861603,261.70061922073364,261.2587242126465,276.70509457588196,270.10714173316956,258.08535861968994,259.01058888435364,251.4999384880066,257.10790824890137,277.6249158382416,262.2794382572174,144.6451551914215,252.23385214805603,276.73712730407715,254.20334100723267,271.07861971855164,274.49865531921387,167.1757833957672,165.71347045898438,275.9222512245178,205.7413990497589,0.624516487121582,152.46272253990173,151.16889023780823,277.1203374862671,211.3801326751709,245.32672119140625,261.1486132144928,180.2625117301941,374.7900936603546,251.69915413856506,256.43110823631287,265.05368733406067,237.5254967212677,242.54839706420898,240.28159618377686,329.6043825149536,244.32174396514893,171.41709303855896,191.33513116836548,189.3710482120514,244.50574707984924,270.0904116630554,330.55819869041443,156.93537282943726,286.8275134563446,166.8240466117859,348.89808177948,239.43880367279053,206.29021382331848,212.87854957580566,307.90054202079773
ESN_1layer_2021-08-21_19.46.32,144547.3755671978,1814.3011224269867,1774.8138110637665,1764.1358835697174,1761.2609686851501,1770.7916021347046,1772.396255016327,1771.110568523407,1792.278403520584,1775.825143814087,1764.9396154880524,1767.6328217983246,1780.047868013382,1780.253300666809,1764.0757389068604,1771.7642328739166,1768.897468805313,1795.3119757175446,0.40832972526550293,1759.41144657135,1770.1180355548859,1764.0877649784088,1774.113314628601,1772.5340611934662,1766.906087398529,1768.2764344215393,2010.7697014808655,2058.669686317444,1914.6759388446808,1750.0260272026062,1747.8850486278534,1978.1897089481354,1998.9684000015259,2056.8002183437347,2019.236231803894,1754.7463462352753,1757.9398226737976,1759.0169777870178,1760.0210201740265,1759.1299712657928,1753.5813891887665,1748.6783850193024,1562.4748277664185,1759.8194906711578,1756.2047717571259,1762.5569694042206,1773.6992909908295,1926.8094375133514,1755.8940041065216,1755.576210975647,1752.8004422187805,1760.438553571701,0.40832972526550293,1709.6014342308044,1759.0466148853302,1784.9662582874298,1765.8190758228302,1766.3226602077484,1766.97851896286,1759.3634986877441,1773.1889126300812,1765.6031558513641,1769.254369020462,1782.3807549476624,1775.9342782497406,1778.7611758708954,1760.8755328655243,1765.9372911453247,1771.4330337047577,1764.5497364997864,1758.6088528633118,1758.788160085678,1785.708253622055,1762.7638115882874,1758.7477626800537,1581.8064415454865,1768.7569875717163,1762.3124842643738,1782.0839121341705,1758.4046709537506,1755.4474203586578,1754.6998019218445,1811.056180715561
ESN_2layers_2021-08-23_12.46.41,299489.7158651352,3461.640293121338,3522.41001868248,3515.0760927200317,3504.3059089183807,3522.076396226883,3494.9813923835754,3499.2641015052795,3486.5814402103424,3468.7068281173706,3469.655364513397,3480.702252626419,3467.059658050537,3467.537248849869,3466.1619341373444,3474.3375449180603,3473.9257814884186,3479.6964066028595,0.9496974945068359,3481.0986881256104,3468.4478278160095,3460.5071885585785,3470.6395840644836,3472.251267671585,3469.9339566230774,3465.475379705429,3468.4338307380676,3455.7389693260193,3462.2147800922394,3522.0470628738403,3686.777468442917,3463.4886796474457,3460.3117592334747,3470.1991765499115,3462.2986047267914,3468.4637229442596,3460.8682601451874,3463.8186960220337,3462.7992734909058,3467.685850381851,3471.33074760437,3483.618319272995,3095.8328487873077,3464.5520343780518,3471.9592707157135,3463.7089717388153,3505.2861065864563,4543.753304481506,3937.306871175766,6891.295559644699,6156.2554812431335,4906.945017337799,0.9496974945068359,4691.106430053711,4967.468592643738,3785.3063464164734,3916.399933576584,4388.2381937503815,3891.295970916748,3626.1048278808594,3800.3864662647247,3668.1748740673065,3632.4254105091095,3625.5714552402496,3629.5851304531097,3658.1968007087708,3615.671271085739,3698.6658189296722,3758.7722907066345,3746.477473258972,3741.515397310257,3656.961153268814,3543.7739074230194,3525.6561603546143,3569.4415600299835,3580.556533098221,4365.651435136795,3523.9747643470764,3490.6952776908875,3489.8840923309326,3511.8819444179535,3590.352758407593,3621.554051876068
