model,total_elapsed_time,P-1,S-1,E-1,E-2,E-3,E-4,E-5,E-6,E-7,E-8,E-9,E-10,E-11,E-12,E-13,A-1,D-1,P-2,P-3,D-2,D-3,D-4,A-2,A-3,A-4,G-1,G-2,D-5,D-6,D-7,F-1,P-4,G-3,T-1,T-2,D-8,D-9,F-2,G-4,T-3,D-11,D-12,B-1,G-6,G-7,P-7,R-1,A-5,A-6,A-7,D-13,P-2,A-8,A-9,F-3,M-6,M-1,M-2,S-2,P-10,T-4,T-5,F-7,M-3,M-4,M-5,P-15,C-1,C-2,T-12,T-13,F-4,F-5,D-14,T-9,P-14,T-8,P-11,D-15,D-16,M-7,F-8
LSTM_1layer_2021-08-21_09.27.38,3h:22m:07s.354,0h:02m:51s.558,0h:02m:40s.98,0h:02m:40s.549,0h:02m:45s.128,0h:02m:40s.949,0h:02m:41s.742,0h:02m:42s.898,0h:02m:49s.857,0h:02m:39s.817,0h:02m:39s.389,0h:02m:40s.24,0h:02m:40s.451,0h:02m:47s.754,0h:02m:41s.677,0h:02m:37s.338,0h:02m:39s.795,0h:02m:40s.334,0h:00m:00s.257,0h:02m:35s.143,0h:02m:42s.835,0h:02m:45s.631,0h:02m:43s.197,0h:02m:36s.781,0h:02m:37s.41,0h:02m:35s.794,0h:02m:37s.358,0h:02m:29s.903,0h:02m:27s.621,0h:02m:33s.52,0h:02m:35s.421,0h:02m:44s.689,0h:02m:32s.152,0h:02m:33s.423,0h:02m:42s.949,0h:02m:40s.597,0h:02m:31s.779,0h:02m:30s.767,0h:02m:34s.630,0h:02m:30s.219,0h:02m:39s.945,0h:02m:29s.868,0h:01m:24s.250,0h:02m:25s.137,0h:02m:37s.947,0h:02m:28s.414,0h:02m:41s.382,0h:02m:36s.274,0h:01m:35s.65,0h:01m:35s.443,0h:02m:39s.742,0h:01m:57s.330,0h:00m:00s.257,0h:01m:34s.612,0h:01m:36s.90,0h:02m:43s.280,0h:02m:08s.390,0h:02m:30s.742,0h:02m:28s.248,0h:01m:44s.440,0h:03m:38s.334,0h:02m:32s.980,0h:02m:30s.20,0h:02m:37s.838,0h:02m:22s.259,0h:02m:23s.961,0h:02m:21s.167,0h:03m:18s.905,0h:02m:25s.458,0h:01m:38s.272,0h:01m:48s.893,0h:01m:50s.92,0h:02m:24s.603,0h:02m:42s.176,0h:03m:18s.525,0h:01m:29s.682,0h:02m:50s.166,0h:01m:36s.214,0h:03m:26s.163,0h:02m:23s.787,0h:02m:00s.834,0h:02m:06s.215,0h:03m:06s.470
LSTM_2layers_2021-08-21_13.50.13,5h:43m:34s.631,0h:04m:47s.951,0h:04m:40s.525,0h:04m:41s.529,0h:04m:39s.738,0h:04m:37s.988,0h:04m:33s.462,0h:04m:33s.700,0h:04m:34s.926,0h:04m:35s.819,0h:04m:35s.988,0h:04m:37s.563,0h:04m:33s.713,0h:04m:33s.238,0h:04m:38s.736,0h:04m:41s.193,0h:04m:36s.646,0h:04m:31s.901,0h:00m:00s.624,0h:04m:32s.402,0h:04m:35s.220,0h:04m:39s.778,0h:04m:28s.518,0h:04m:25s.213,0h:04m:28s.185,0h:04m:27s.169,0h:04m:36s.429,0h:04m:18s.91,0h:03m:53s.864,0h:04m:18s.961,0h:04m:18s.346,0h:04m:37s.70,0h:04m:21s.700,0h:04m:21s.258,0h:04m:36s.705,0h:04m:30s.107,0h:04m:18s.85,0h:04m:19s.10,0h:04m:11s.499,0h:04m:17s.107,0h:04m:37s.624,0h:04m:22s.279,0h:02m:24s.645,0h:04m:12s.233,0h:04m:36s.737,0h:04m:14s.203,0h:04m:31s.78,0h:04m:34s.498,0h:02m:47s.175,0h:02m:45s.713,0h:04m:35s.922,0h:03m:25s.741,0h:00m:00s.624,0h:02m:32s.462,0h:02m:31s.168,0h:04m:37s.120,0h:03m:31s.380,0h:04m:05s.326,0h:04m:21s.148,0h:03m:00s.262,0h:06m:14s.790,0h:04m:11s.699,0h:04m:16s.431,0h:04m:25s.53,0h:03m:57s.525,0h:04m:02s.548,0h:04m:00s.281,0h:05m:29s.604,0h:04m:04s.321,0h:02m:51s.417,0h:03m:11s.335,0h:03m:09s.371,0h:04m:04s.505,0h:04m:30s.90,0h:05m:30s.558,0h:02m:36s.935,0h:04m:46s.827,0h:02m:46s.824,0h:05m:48s.898,0h:03m:59s.438,0h:03m:26s.290,0h:03m:32s.878,0h:05m:07s.900
ESN_1layer_2021-08-21_19.46.32,40h:09m:07s.375,0h:30m:14s.301,0h:29m:34s.813,0h:29m:24s.135,0h:29m:21s.260,0h:29m:30s.791,0h:29m:32s.396,0h:29m:31s.110,0h:29m:52s.278,0h:29m:35s.825,0h:29m:24s.939,0h:29m:27s.632,0h:29m:40s.47,0h:29m:40s.253,0h:29m:24s.75,0h:29m:31s.764,0h:29m:28s.897,0h:29m:55s.311,0h:00m:00s.408,0h:29m:19s.411,0h:29m:30s.118,0h:29m:24s.87,0h:29m:34s.113,0h:29m:32s.534,0h:29m:26s.906,0h:29m:28s.276,0h:33m:30s.769,0h:34m:18s.669,0h:31m:54s.675,0h:29m:10s.26,0h:29m:07s.885,0h:32m:58s.189,0h:33m:18s.968,0h:34m:16s.800,0h:33m:39s.236,0h:29m:14s.746,0h:29m:17s.939,0h:29m:19s.16,0h:29m:20s.21,0h:29m:19s.129,0h:29m:13s.581,0h:29m:08s.678,0h:26m:02s.474,0h:29m:19s.819,0h:29m:16s.204,0h:29m:22s.556,0h:29m:33s.699,0h:32m:06s.809,0h:29m:15s.894,0h:29m:15s.576,0h:29m:12s.800,0h:29m:20s.438,0h:00m:00s.408,0h:28m:29s.601,0h:29m:19s.46,0h:29m:44s.966,0h:29m:25s.819,0h:29m:26s.322,0h:29m:26s.978,0h:29m:19s.363,0h:29m:33s.188,0h:29m:25s.603,0h:29m:29s.254,0h:29m:42s.380,0h:29m:35s.934,0h:29m:38s.761,0h:29m:20s.875,0h:29m:25s.937,0h:29m:31s.433,0h:29m:24s.549,0h:29m:18s.608,0h:29m:18s.788,0h:29m:45s.708,0h:29m:22s.763,0h:29m:18s.747,0h:26m:21s.806,0h:29m:28s.756,0h:29m:22s.312,0h:29m:42s.83,0h:29m:18s.404,0h:29m:15s.447,0h:29m:14s.699,0h:30m:11s.56
ESN_2layers_2021-08-23_12.46.41,83h:11m:29s.715,0h:57m:41s.640,0h:58m:42s.410,0h:58m:35s.76,0h:58m:24s.305,0h:58m:42s.76,0h:58m:14s.981,0h:58m:19s.264,0h:58m:06s.581,0h:57m:48s.706,0h:57m:49s.655,0h:58m:00s.702,0h:57m:47s.59,0h:57m:47s.537,0h:57m:46s.161,0h:57m:54s.337,0h:57m:53s.925,0h:57m:59s.696,0h:00m:00s.949,0h:58m:01s.98,0h:57m:48s.447,0h:57m:40s.507,0h:57m:50s.639,0h:57m:52s.251,0h:57m:49s.933,0h:57m:45s.475,0h:57m:48s.433,0h:57m:35s.738,0h:57m:42s.214,0h:58m:42s.47,1h:01m:26s.777,0h:57m:43s.488,0h:57m:40s.311,0h:57m:50s.199,0h:57m:42s.298,0h:57m:48s.463,0h:57m:40s.868,0h:57m:43s.818,0h:57m:42s.799,0h:57m:47s.685,0h:57m:51s.330,0h:58m:03s.618,0h:51m:35s.832,0h:57m:44s.552,0h:57m:51s.959,0h:57m:43s.708,0h:58m:25s.286,1h:15m:43s.753,1h:05m:37s.306,1h:54m:51s.295,1h:42m:36s.255,1h:21m:46s.945,0h:00m:00s.949,1h:18m:11s.106,1h:22m:47s.468,1h:03m:05s.306,1h:05m:16s.399,1h:13m:08s.238,1h:04m:51s.295,1h:00m:26s.104,1h:03m:20s.386,1h:01m:08s.174,1h:00m:32s.425,1h:00m:25s.571,1h:00m:29s.585,1h:00m:58s.196,1h:00m:15s.671,1h:01m:38s.665,1h:02m:38s.772,1h:02m:26s.477,1h:02m:21s.515,1h:00m:56s.961,0h:59m:03s.773,0h:58m:45s.656,0h:59m:29s.441,0h:59m:40s.556,1h:12m:45s.651,0h:58m:43s.974,0h:58m:10s.695,0h:58m:09s.884,0h:58m:31s.881,0h:59m:50s.352,1h:00m:21s.554
