Channel,train_loss_1,valid_loss_1,train_loss_2,valid_loss_2,train_loss_3,valid_loss_3,train_loss_4,valid_loss_4,train_loss_5,valid_loss_5,Train AVG,Valid AVG,Train STD,Valid STD
P-1,0.0443969406187534,0.1406814754009246,0.022712767124176,0.0966195464134216,0.0272915083914995,0.1399578303098678,0.0239503011107444,0.0993202030658721,0.020554069429636,0.072355568408966,0.027781117334961858,0.10978692471981041,0.008589747942104972,0.026641303852574714
S-1,0.0634722784161567,0.367008239030838,0.1014254391193389,0.3408952951431274,0.0547062046825885,0.2511731684207916,0.0593633279204368,0.2230743020772934,0.0565828941762447,0.2635040581226349,0.06711002886295311,0.2891310125589371,0.017409580143584825,0.05514604442634739
E-1,0.0664679482579231,0.7752503156661987,0.2877878546714782,0.3274827003479004,0.0955392196774482,0.4798471927642822,0.1654024869203567,0.5479378700256348,0.1029275357723236,0.1645857095718383,0.14362500905990597,0.4590207576751709,0.078966985634399,0.20607541565723503
E-2,0.041699294000864,0.1083921417593956,0.0918024256825447,0.217598870396614,0.0484433807432651,0.0845348611474037,0.0807842165231704,0.0867263302206993,0.0535797327756881,0.1141267046332359,0.06326180994510647,0.12227578163146971,0.0194929322326291,0.0490587295765789
E-3,0.0023594642989337,0.0074686962179839,0.0031668245792388,0.0085092475637793,0.0020594075322151,0.0066135171800851,0.0022318863775581,0.005500956904143,0.0023040445521473,0.0029000556096434,0.0024243254680186,0.00619849469512694,0.00038475376633609126,0.0019230961370753335
E-4,0.015448585152626,0.0399330928921699,0.0005587309133261,0.0569985024631023,0.0116024101153016,0.086334079504013,0.0322232097387313,0.0314463339745998,0.0112673537805676,0.0309431347995996,0.01422005794011052,0.04913102872669691,0.01027448443394931,0.02085240546184952
E-5,0.2083014100790023,0.0983367562294006,0.1554519832134246,0.0846851766109466,0.0835722982883453,0.2082915902137756,0.1547559648752212,0.1941964030265808,0.2434086948633194,0.3976134657859802,0.16909807026386256,0.19662467837333678,0.05434250662565709,0.11200845835278836
E-6,3.4052678529405966e-05,0.000178135902388,4.53114953415934e-05,0.0001586873258929,1.8921698938356712e-05,0.0001224316802108,3.7796227843500674e-05,0.0001710600190563,3.589127300074324e-05,0.000213462015381,3.4394674730719996e-05,0.00016875538858580002,8.631538489558722e-06,2.945925893230964e-05
E-7,0.0014671242097392,0.001634023617953,0.0013079372001811,0.001728058210574,0.0012553479755297,0.0014423169195652,0.0013485923409461,0.0019953725859522,0.0012579708127304,0.001395451487042,0.0013273945078252998,0.0016390445642172798,7.792647406777268e-05,0.0002158507130545121
E-8,0.0169417634606361,0.0148633867502212,0.0187115482985973,0.040092397481203,0.0243385452777147,0.0110742859542369,0.0149514721706509,0.0212411098182201,0.0196088831871747,0.0295277349650859,0.018910442478954743,0.02335978299379342,0.0031477236629343444,0.01044638676065628
E-9,0.007464924827218,0.0129395294934511,0.0096887499094009,0.0207739975303411,0.0040533361025154,0.0052343741990625,0.0081627424806356,0.0080193439498543,0.0095983669161796,0.015025470405817,0.007793624047189899,0.012398543115705199,0.00205341882532459,0.005437726574598311
E-10,0.1041929200291633,0.0484899990260601,0.131167784333229,0.153138518333435,0.1600991338491439,0.2623248994350433,0.168599784374237,0.3043061196804046,0.1862745434045791,0.1000595912337303,0.1500668331980705,0.17366382554173465,0.02904033598798165,0.096369656459249
E-11,0.2132763564586639,0.5032481551170349,0.1822955459356308,0.6159075498580933,0.1334862411022186,0.2518495321273803,0.232809841632843,0.5104305744171143,0.0965223237872123,0.3085571527481079,0.17167806178331374,0.43799859285354614,0.05037309543371114,0.13606032010623179
E-12,0.2171318531036377,0.5449166297912598,0.1318841129541397,0.4322745501995086,0.1824069172143936,0.2997368276119232,0.1765568405389785,0.0670856088399887,0.1479256451129913,0.5321321487426758,0.17118107378482816,0.3752291530370712,0.02950070725303254,0.17737987608206984
E-13,0.0619719997048378,0.0816190391778945,0.080477699637413,0.1143259033560752,0.0808152332901954,0.2526379227638244,0.037964854389429,0.1175151765346527,0.0589031651616096,0.200665146112442,0.06402659043669695,0.15335263758897777,0.015888249986820573,0.06332323437055619
A-1,3.434903919696808e-05,0.0001127674258896,3.044204095203895e-05,8.463006815873086e-05,3.14888238790445e-05,2.720247721299529e-05,9.875517207547093e-06,0.0001006663151201,2.05770611501066e-05,0.0005419845692813,2.5346496477141046e-05,0.00017345017113254524,9.020390764585727e-06,0.00018658772015017001
D-1,0.00161185010802,0.0029665855690836,0.0018225684762001,0.0037850812077522,0.0019119409844279,0.0031053079292178,0.0018512213137,0.0022539622150361,0.0016874579014256,0.0013769753277301,0.0017770077567547202,0.00269758244976396,0.00011053201585622209,0.0008200071190973991
P-2,0.000699438212905,0.0008508792961947,0.0005447120056487,0.0006414745585061,0.0006646562833338,0.0008794387103989,0.0006438775453716,0.0007003167411312,0.0005010453169234,0.000885289045982,0.0006107458728365,0.00079147967044258,7.518650790561578e-05,0.00010087370368568105
P-3,0.016919707879424,0.0117970034480094,0.0062381490133702,0.0206292420625686,0.0202933251857757,0.0288384146988391,0.0165822841227054,0.0138593791052699,0.0160340964794158,0.0402636490762233,0.01521351253613822,0.023077537678182058,0.004729051556810529,0.010457238454275588
D-2,2.6840945793082938e-05,0.0002083706931443,3.1127998227020726e-05,4.777744834427722e-05,1.2500979210017247e-05,0.0001688883348833,6.462941655627219e-06,0.0001369055535178,5.257298835203983e-05,2.148229214071762e-06,2.5901170647557593e-05,0.0001128180518207498,1.6105891098825722e-05,7.659305631844737e-05
D-3,4.086252738488838e-05,9.473899262957276e-05,4.1742841858649626e-05,0.0001284960017073,6.576546002179384e-05,0.0002656131109688,3.535178620950319e-05,3.866260522045195e-05,4.659979822463356e-05,0.0002164602919947,4.606448273989372e-05,0.00014879420050416495,1.0477727376719604e-05,8.208326069576897e-05
D-4,7.670225022593513e-05,0.0001826675725169,7.57282687118277e-05,5.826590131619014e-05,3.803881554631516e-05,0.0001121852401411,6.846234464319423e-05,3.379215195309371e-05,8.223352779168636e-05,0.0001675551611697,6.823304138379172e-05,0.00011089320541939677,1.5720454221667574e-05,5.8443155182114665e-05
A-2,0.0521820522844791,0.0899082794785499,0.0299197006970644,0.1281911581754684,0.0558489523828029,0.116827867925167,0.0622279942035675,0.0655073747038841,0.04503870382905,0.0602715723216533,0.04904348067939278,0.09214125052094455,0.011061226623922513,0.02697795696491232
A-3,0.0060110785998404,0.0378634482622146,0.0074015501886606,0.0507686100900173,0.005583104211837,0.0430823937058448,0.0084715234115719,0.1044091284275055,0.0126487864181399,0.0762600004673004,0.00802320856600996,0.06247671619057652,0.0025292762626888446,0.024768280411355918
A-4,0.0144878039136528,0.0268018059432506,0.0120119713246822,0.0293145217001438,0.0100958794355392,0.027056448161602,0.0122068040072917,0.0437976866960525,0.0129386596381664,0.0433301553130149,0.012348223663866459,0.03406012356281276,0.0014235545625493266,0.007810364975524817
G-1,0.0063056028448045,0.0536466091871261,0.0242891646921634,0.035905435681343,0.0123460665345191,0.0505928322672843,0.009449609555304,0.0639946907758712,0.0190374907106161,0.0396159440279006,0.01428558686748142,0.048751102387905046,0.006534228647926473,0.010081539704925929
G-2,1.773647454683669e-05,0.0003543419297784,2.897581362049096e-05,3.3552983950357884e-05,4.315290061640553e-05,3.093805207754485e-05,2.398848482698668e-05,2.723060060816352e-05,2.082223181787413e-05,0.0001823720958782,2.6935181085718796e-05,0.00012568713245853324,8.92015669704215e-06,0.0001285736984251839
