Channel,train_loss_1,valid_loss_1,train_loss_2,valid_loss_2,train_loss_3,valid_loss_3,train_loss_4,valid_loss_4,train_loss_5,valid_loss_5,Train AVG,Valid AVG,Train STD,Valid STD
P-1,0.0685679912567138,0.1073011830449104,0.0814099311828613,0.226065307855606,0.0946075469255447,0.1854536086320877,0.0944203436374664,0.094275988638401,0.0941729918122291,0.1731081753969192,0.08663576096296305,0.15724085271358484,0.010341301144180803,0.04948349596759076
S-1,0.1563272923231125,0.2032369524240493,0.1585001498460769,0.1801527440547943,0.1594627648591995,0.1743913143873214,0.1573983877897262,0.3419590294361114,0.1498044729232788,0.2028193920850753,0.15629861354827876,0.22051188647747036,0.0034129987957945787,0.061833362813626835
E-1,0.3114420771598816,0.432603657245636,0.2554340958595276,0.4096789062023163,0.1968041360378265,0.3110589385032654,0.206115111708641,0.0870408937335014,0.174835056066513,0.2194823026657104,0.22892609536647796,0.2919729396700859,0.04896848603044377,0.12747392246229447
E-2,0.0441097468137741,0.0541649311780929,0.026951203122735,0.0801530182361602,0.0809421613812446,0.116770289838314,0.044172890484333,0.1484850347042083,0.0626330226659774,0.1344274282455444,0.05176180489361282,0.10680014044046396,0.018446615709127437,0.0348735879889765
E-3,0.0006338952807709,0.0037848723586648,0.0013949732528999,0.006421216763556,0.0008108855690807,0.0036641585174947,0.0007539214566349,0.0054536685347557,0.0010706472676247,0.0048067108727991,0.0009328645654022199,0.00482612540945406,0.0002715918470663059,0.0010366174511424427
E-4,0.0191659945994615,0.0244613997638225,0.0297653395682573,0.0986455976963043,0.0089068217203021,0.0221884232014417,0.0212641134858131,0.064641885459423,0.0158501509577035,0.0302802771329879,0.0189904840663075,0.04804351665079588,0.006824069813734747,0.029584493321860812
E-5,0.1801333427429199,0.5253611207008362,0.1847046166658401,0.1900461465120315,0.067964531481266,0.4457210600376129,0.2018250674009323,0.0896326154470443,0.238511711359024,0.4974915087223053,0.17462785392999644,0.34965049028396605,0.05714849354217753,0.17609292349935507
E-6,3.794549047597684e-05,0.0009313722257502,3.7035941204521805e-05,0.0002389710280112,4.135186827625148e-05,1.012773827824276e-05,5.462656918098219e-05,3.634925406004186e-06,5.248023808235303e-05,0.0003946183715015,4.468802144401707e-05,0.0003157448577894294,7.411333821440539e-06,0.0003411529691845322
E-7,0.0012996804434806,0.0017986258026212,0.0014112666249275,0.0018244199454784,0.0014662006869912,0.0029647378250956,0.0012919147266075,0.0012895317049697,0.0014310207916423,0.0018989979289472,0.0013800166547298198,0.00195526264142242,7.102327310554367e-05,0.0005490097366028537
E-8,0.01058563683182,0.0518791228532791,0.0145932920277118,0.0143661256879568,0.0044294027611613,0.0387358292937278,0.0062008551321923,0.0615802966058254,0.0156484711915254,0.0146534796804189,0.010291531588882161,0.0362429708242416,0.004435913230429186,0.01916969562800808
E-9,0.0029951455071568,0.0095145124942064,0.0045084101147949,0.0162899680435657,0.0035574038047343,0.0138097200542688,0.0054098023101687,0.0239348039031028,0.004814182408154,0.009714008308947,0.00425698882900174,0.01465260256081814,0.0008699797750548715,0.005297930938014954
E-10,0.3194557726383209,0.3648605644702911,0.1257206499576568,0.2558702528476715,0.2299380451440811,0.2145023643970489,0.2016046643257141,0.4465555846691131,0.2241786122322082,0.592613697052002,0.2201795488595962,0.37488049268722534,0.06202338153079008,0.13603679448999567
E-11,0.1579225957393646,0.2277535647153854,0.236032024025917,0.1172582730650901,0.1948575377464294,0.1758267283439636,0.0706755369901657,0.405347466468811,0.2508772909641266,0.3437532186508178,0.18207299709320063,0.2539878502488136,0.06450067895034134,0.10626375748892611
E-12,0.2339781820774078,0.3529528379440307,0.2598723173141479,0.4381340444087982,0.1990469247102737,0.2893359959125519,0.1695408821105957,0.2705952823162079,0.1029620021581649,0.3915311694145202,0.19308006167411798,0.3485098659992218,0.05448820559706834,0.06241040803323846
E-13,0.1827737390995025,0.1198295280337333,0.1308326572179794,0.1084073781967163,0.0705725625157356,0.0372804775834083,0.1625271737575531,0.3156635463237762,0.186645895242691,0.2732824683189392,0.14667040556669234,0.17089267969131466,0.04288273208236879,0.10564691339828497
A-1,6.234079774003476e-05,0.0001441206986783,6.426618347177282e-05,6.083690550440224e-06,5.4871747124707326e-05,0.000515978434123,9.538088488625364e-05,0.0003934897249564,0.0001288440253119,2.1967411157675087e-05,8.11407277069337e-05,0.00021632799189316305,2.7592149715503554e-05,0.00020414174584089823
D-1,0.0020733484998345,0.002227789722383,0.0019718999974429,0.0026843575760722,0.0014802708756178,0.0016208932502195,0.0015008338959887,0.0012883244780823,0.0017192888772115,0.0033052337821573,0.0017491284292190802,0.00222531976178286,0.00024065360334860506,0.0007239098944774733
P-2,0.0005155773833394,0.0009177477331832,0.0004749371146317,0.000501585076563,0.0006051778327673,0.0007568913861177,0.0005145031027495,0.0007461111526936,0.0005902483826503,0.0009121113689616,0.0005400887632276399,0.00076688934350382,4.950302106955072e-05,0.0001515029615796089
P-3,0.0090812612324953,0.0296986792236566,0.0066942041739821,0.047452226281166,0.0075429617427289,0.0152069954201579,0.0118757179006934,0.0190068949013948,0.0073296469636261,0.0178630724549293,0.008504758402705159,0.025845573656260917,0.0018590196219715413,0.011877382368131592
