Channel,train_loss_1,valid_loss_1,train_loss_2,valid_loss_2,train_loss_3,valid_loss_3,train_loss_4,valid_loss_4,train_loss_5,valid_loss_5,Train AVG,Valid AVG,Train STD,Valid STD
P-1,0.05768933147192,0.0672933161258697,0.0358245559036731,0.0322088710963726,0.0324909873306751,0.0328011624515056,0.0376350283622741,0.0396121032536029,0.0280731357634067,0.0327177718281745,0.0383426077663898,0.04092664495110506,0.010206277371091886,0.013463565749789777
S-1,0.0988652110099792,0.1070781275629997,0.1192001327872276,0.1273181736469268,0.1281783729791641,0.1394711434841156,0.1496153324842453,0.1410995721817016,0.1120819076895713,0.1125737875699997,0.12158819139003749,0.12550816088914868,0.01697855837419074,0.013771690359475054
E-1,0.1696539521217346,0.1814389675855636,0.247451364994049,0.18692047894001,0.2454965412616729,0.2397426813840866,0.2321780771017074,0.2133129239082336,0.2350455820560455,0.2200876921415329,0.22596510350704188,0.20830054879188534,0.02875808893287936,0.02159314838726664
E-2,0.0667419359087944,0.0655594170093536,0.0694215297698974,0.0706328228116035,0.0598382875323295,0.0613921284675598,0.0653945505619049,0.0576315894722938,0.069392405450344,0.0749790742993354,0.06615774184465403,0.06603900641202923,0.0035206421774198514,0.0062215127287042656
E-3,0.0031720977276563,0.0024065917823463,0.0037551228888332,0.0025504878722131,0.0030427416786551,0.0025853055994957,0.0037113374564796,0.0038185091689229,0.0034835231490433,0.0022431178949773,0.0034329645801334996,0.00272080246359106,0.00028430934933598007,0.0005620030908182642
E-4,0.0261102002114057,0.0233622752130031,0.0256331004202365,0.029948117211461,0.0263427421450614,0.0208626240491867,0.0261091124266386,0.0247756894677877,0.0273385681211948,0.0285501088947057,0.0263067446649074,0.02549976296722884,0.0005652327406840409,0.0033373240608826683
E-5,0.2283852100372314,0.268110990524292,0.2240605652332306,0.2786803245544433,0.2458063960075378,0.1993604749441146,0.2492605298757553,0.2188237458467483,0.2465056031942367,0.2385962903499603,0.23880366086959834,0.2407143652439117,0.0104269584355712,0.029616950703602218
E-6,0.0044568357989192,3.590949563658796e-05,0.0050785816274583,0.0001127487339545,0.0042248019017279,9.756214421940967e-05,0.001880045980215,4.656999590224586e-05,0.00450174883008,4.17280025430955e-05,0.00402840282768008,6.69036744511678e-05,0.00111035998673163,3.1779311852644675e-05
E-7,0.0040598968043923,0.0013681224081665,0.0050214305520057,0.0012435475364327,0.0038903667591512,0.0016676724189892,0.0034794106613844,0.0015668130945414,0.0046993512660264,0.0014124002773314,0.004230091208592,0.00145171114709224,0.0005575523434911577,0.00014950066208904069
E-8,0.0185446646064519,0.0193701237440109,0.0210841558873653,0.0215984024107456,0.0208373721688985,0.0146202417090535,0.0181185416877269,0.016586298123002,0.0223498176783323,0.0217364579439163,0.02018691040575498,0.01878230478614566,0.0016050818202444073,0.002798148393503627
E-9,0.0115789696574211,0.0074759945273399,0.0104040671139955,0.0078396191820502,0.0104842502623796,0.007694739382714,0.0100118434056639,0.008892242796719,0.0105987014248967,0.008131431415677,0.01061556637287136,0.00800680546090002,0.0005205550102851605,0.0004912489471629035
E-10,0.2424374669790268,0.2269813120365142,0.2210748940706253,0.2192069292068481,0.2361377477645874,0.1986994594335556,0.2437266409397125,0.2243483960628509,0.2641588151454925,0.2153150141239166,0.24150711297988892,0.2169102221727371,0.013893862863140113,0.009961974837612894
